sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
14_2401_1_A2	145265	114373	78.73	112593	105363	72.53	96860	66.68
14_2789_1_A4	143689	115019	80.05	114298	112230	78.11	109737	76.37
14_2843_1_A6	147780	110480	74.76	109383	106374	71.98	103126	69.78
14_2844_1_A8	103116	96483	93.57	95203	92937	90.13	90401	87.67
14_3010_1_A10	136520	110510	80.95	109638	107559	78.79	104771	76.74
14_3191_1_A12	132032	122521	92.8	121696	120353	91.15	118144	89.48
14_3250_1_B2	118864	110605	93.05	109643	107845	90.73	106380	89.5
14_3250_6_B4	134747	106281	78.87	105476	103726	76.98	103222	76.6
14_3276_1_B6	148964	108982	73.16	107107	102951	69.11	99773	66.98
14_3276_6_B8	135141	125472	92.85	122611	113717	84.15	106549	78.84
2031199_A5	90316	69461	76.91	66411	60146	66.6	57432	63.59
B220819_C8	148485	84310	56.78	83713	82685	55.69	82368	55.47
D15.01276.01	72108	65089	90.27	64300	63190	87.63	61804	85.71
D17.01929.02	91786	84713	92.29	83881	82435	89.81	78921	85.98
D18.02786.02	83426	74451	89.24	72234	68886	82.57	67805	81.28
D19.01661.02	94645	87563	92.52	86774	85884	90.74	85619	90.46
D20.00840.02	84654	75955	89.72	75295	73681	87.04	67109	79.27
D21.00483.01	73230	66349	90.6	65526	62980	86	57194	78.1
N181650.A7	88768	81519	91.83	80305	77925	87.79	75719	85.3
N181650_A2	74554	63060	84.58	60953	56579	75.89	52883	70.93
N190186.B1	60701	55267	91.05	53258	50444	83.1	49063	80.83
N190393.A3	83714	76773	91.71	75709	73977	88.37	68350	81.65
N191724.A2	53135	47743	89.85	46589	44940	84.58	41178	77.5
N193509.A2	85173	77551	91.05	76093	74051	86.94	70878	83.22
N210403.B3	81333	73660	90.57	71938	68321	84	66514	81.78
N210758.A3	94710	89686	94.7	89471	89373	94.36	89307	94.3
N211161.A4	85387	79536	93.15	76614	74082	86.76	73140	85.66
N212541.A2	84665	78965	93.27	76381	72122	85.19	69936	82.6
N220339.A4	93941	85348	90.85	84500	82753	88.09	78506	83.57
X18.06732.02	65602	59527	90.74	58818	57844	88.17	57727	88
X18.09852.02	77476	70911	91.53	69986	67424	87.03	56964	73.52
X19.08326.02	82886	74118	89.42	73061	70264	84.77	58876	71.03
Z0482852.A5	72618	64235	88.46	57528	40960	56.4	37912	52.21
Z0495189.A3	91893	80346	87.43	71079	50968	55.46	46833	50.96
Z0502927.A3	80551	74449	92.42	73248	71761	89.09	70885	88
Z0520920.B3	87401	80491	92.09	79155	76977	88.07	75084	85.91
Z0521061.B4	87739	80418	91.66	78551	75385	85.92	73827	84.14
Z0521146.A2	60379	54455	90.19	52701	50232	83.19	47989	79.48
Z0940919.A1	73585	67531	91.77	66298	64331	87.42	62349	84.73
Z0952754.A2	84530	78833	93.26	77403	76108	90.04	75308	89.09
a78804	67367	59210	87.89	58378	57525	85.39	55722	82.71
